engine;iter;model;width;depth;int_delay;ext_delay;model_time;runner_time;sim_time;total_time
xdevs-rs-no_std-f64;0;HI;2;2;0;0;4.6e-05;1.7e-05;0.000142;0.000205
xdevs-rs-no_std-f64;1;HI;2;2;0;0;4.6e-05;1.7e-05;0.000143;0.000206
xdevs-rs-no_std-f64;2;HI;2;2;0;0;4.6e-05;1.8e-05;0.000142;0.000206
xdevs-rs-no_std-f64;3;HI;2;2;0;0;4.6e-05;1.7e-05;0.000142;0.000205
xdevs-rs-no_std-f64;4;HI;2;2;0;0;4.6e-05;1.7e-05;0.000142;0.000205
xdevs-rs-no_std-f64;5;HI;2;2;0;0;4.6e-05;1.8e-05;0.000143;0.000207
xdevs-rs-no_std-f64;6;HI;2;2;0;0;4.6e-05;1.8e-05;0.000143;0.000207
xdevs-rs-no_std-f64;7;HI;2;2;0;0;4.6e-05;1.8e-05;0.000143;0.000207
xdevs-rs-no_std-f64;8;HI;2;2;0;0;4.6e-05;1.8e-05;0.000142;0.000206
xdevs-rs-no_std-f64;9;HI;2;2;0;0;4.6e-05;1.7e-05;0.000142;0.000205
xdevs-rs-no_std-f64;0;HI;2;4;0;0;6.4e-05;2.1e-05;0.000154;0.000239
xdevs-rs-no_std-f64;1;HI;2;4;0;0;6.3e-05;2.1e-05;0.000154;0.000238
xdevs-rs-no_std-f64;2;HI;2;4;0;0;6.3e-05;2.1e-05;0.000154;0.000238
xdevs-rs-no_std-f64;3;HI;2;4;0;0;6.3e-05;2.1e-05;0.000154;0.000238
xdevs-rs-no_std-f64;4;HI;2;4;0;0;6.3e-05;2.2e-05;0.000154;0.000239
xdevs-rs-no_std-f64;5;HI;2;4;0;0;6.3e-05;2.1e-05;0.000154;0.000238
xdevs-rs-no_std-f64;6;HI;2;4;0;0;6.3e-05;2.1e-05;0.000154;0.000238
xdevs-rs-no_std-f64;7;HI;2;4;0;0;6.3e-05;2.1e-05;0.000154;0.000238
xdevs-rs-no_std-f64;8;HI;2;4;0;0;6.4e-05;2.1e-05;0.000154;0.000239
xdevs-rs-no_std-f64;9;HI;2;4;0;0;6.3e-05;2.2e-05;0.000154;0.000239
xdevs-rs-no_std-f64;0;HI;2;6;0;0;8.3e-05;2.1e-05;0.000168;0.000272
xdevs-rs-no_std-f64;1;HI;2;6;0;0;8.2e-05;2.1e-05;0.000168;0.000271
xdevs-rs-no_std-f64;2;HI;2;6;0;0;8.3e-05;2.1e-05;0.000168;0.000272
