engine;iter;model;width;depth;int_delay;ext_delay;model_time;runner_time;sim_time;total_time
xdevs-rs-no_std-f64;0;LI;2;2;0;0;4.8e-05;1.7e-05;0.000137;0.000202
xdevs-rs-no_std-f64;1;LI;2;2;0;0;4.9e-05;1.7e-05;0.000138;0.000204
xdevs-rs-no_std-f64;2;LI;2;2;0;0;4.9e-05;1.7e-05;0.000137;0.000203
xdevs-rs-no_std-f64;3;LI;2;2;0;0;4.8e-05;1.6e-05;0.000138;0.000202
xdevs-rs-no_std-f64;4;LI;2;2;0;0;4.8e-05;1.6e-05;0.000138;0.000202
xdevs-rs-no_std-f64;5;LI;2;2;0;0;4.9e-05;1.7e-05;0.000137;0.000203
xdevs-rs-no_std-f64;6;LI;2;2;0;0;4.8e-05;1.7e-05;0.000137;0.000202
xdevs-rs-no_std-f64;7;LI;2;2;0;0;4.9e-05;1.7e-05;0.000137;0.000203
xdevs-rs-no_std-f64;8;LI;2;2;0;0;4.8e-05;1.7e-05;0.000137;0.000202
xdevs-rs-no_std-f64;9;LI;2;2;0;0;4.8e-05;1.6e-05;0.000137;0.000201
xdevs-rs-no_std-f64;0;LI;2;4;0;0;6.5e-05;2e-05;0.000148;0.000233
xdevs-rs-no_std-f64;1;LI;2;4;0;0;6.5e-05;1.9e-05;0.000148;0.000232
xdevs-rs-no_std-f64;2;LI;2;4;0;0;6.5e-05;2e-05;0.000148;0.000233
xdevs-rs-no_std-f64;3;LI;2;4;0;0;6.6e-05;1.9e-05;0.000148;0.000233
xdevs-rs-no_std-f64;4;LI;2;4;0;0;6.5e-05;2e-05;0.000148;0.000233
xdevs-rs-no_std-f64;5;LI;2;4;0;0;6.6e-05;1.9e-05;0.000148;0.000233
xdevs-rs-no_std-f64;6;LI;2;4;0;0;6.5e-05;2e-05;0.000148;0.000233
xdevs-rs-no_std-f64;7;LI;2;4;0;0;6.5e-05;2e-05;0.000148;0.000233
xdevs-rs-no_std-f64;8;LI;2;4;0;0;6.5e-05;1.9e-05;0.000148;0.000232
xdevs-rs-no_std-f64;9;LI;2;4;0;0;6.5e-05;1.9e-05;0.000148;0.000232
xdevs-rs-no_std-f64;0;LI;2;6;0;0;8.4e-05;1.6e-05;0.000167;0.000267
xdevs-rs-no_std-f64;1;LI;2;6;0;0;8.4e-05;1.7e-05;0.000168;0.000269
xdevs-rs-no_std-f64;2;LI;2;6;0;0;8.3e-05;1.7e-05;0.000167;0.000267
xdevs-rs-no_std-f64;3;LI;2;6;0;0;8.4e-05;1.7e-05;0.000168;0.000269
xdevs-rs-no_std-f64;4;LI;2;6;0;0;8.4e-05;1.7e-05;0.000168;0.000269
xdevs-rs-no_std-f64;5;LI;2;6;0;0;8.4e-05;1.7e-05;0.000168;0.000269
xdevs-rs-no_std-f64;6;LI;2;6;0;0;8.4e-05;1.6e-05;0.000167;0.000267
xdevs-rs-no_std-f64;7;LI;2;6;0;0;8.4e-05;1.7e-05;0.000167;0.000268
xdevs-rs-no_std-f64;8;LI;2;6;0;0;8.4e-05;1.7e-05;0.000167;0.000268
xdevs-rs-no_std-f64;9;LI;2;6;0;0;8.4e-05;1.6e-05;0.000167;0.000267
xdevs-rs-no_std-f64;0;LI;2;8;0;0;9.8e-05;1.7e-05;0.000186;0.000301
xdevs-rs-no_std-f64;1;LI;2;8;0;0;9.8e-05;1.7e-05;0.000186;0.000301
xdevs-rs-no_std-f64;2;LI;2;8;0;0;9.8e-05;1.7e-05;0.000187;0.000302
xdevs-rs-no_std-f64;3;LI;2;8;0;0;9.8e-05;1.8e-05;0.000187;0.000303
xdevs-rs-no_std-f64;4;LI;2;8;0;0;9.7e-05;1.7e-05;0.000186;0.0003
xdevs-rs-no_std-f64;5;LI;2;8;0;0;9.7e-05;1.7e-05;0.000186;0.0003
xdevs-rs-no_std-f64;6;LI;2;8;0;0;9.8e-05;1.7e-05;0.000187;0.000302
xdevs-rs-no_std-f64;7;LI;2;8;0;0;9.8e-05;1.8e-05;0.000187;0.000303
xdevs-rs-no_std-f64;8;LI;2;8;0;0;9.8e-05;1.7e-05;0.000187;0.000302
xdevs-rs-no_std-f64;9;LI;2;8;0;0;9.8e-05;1.7e-05;0.000186;0.000301
xdevs-rs-no_std-f64;0;LI;2;10;0;0;0.000113;1.7e-05;0.000201;0.000331
xdevs-rs-no_std-f64;1;LI;2;10;0;0;0.000113;1.6e-05;0.000202;0.000331
xdevs-rs-no_std-f64;2;LI;2;10;0;0;0.000113;1.7e-05;0.000201;0.000331
xdevs-rs-no_std-f64;3;LI;2;10;0;0;0.000113;1.7e-05;0.000201;0.000331
xdevs-rs-no_std-f64;4;LI;2;10;0;0;0.000113;1.7e-05;0.000201;0.000331
xdevs-rs-no_std-f64;5;LI;2;10;0;0;0.000113;1.6e-05;0.000202;0.000331
xdevs-rs-no_std-f64;6;LI;2;10;0;0;0.000113;1.7e-05;0.000202;0.000332
xdevs-rs-no_std-f64;7;LI;2;10;0;0;0.000113;1.7e-05;0.000201;0.000331
xdevs-rs-no_std-f64;8;LI;2;10;0;0;0.000113;1.6e-05;0.000202;0.000331
xdevs-rs-no_std-f64;9;LI;2;10;0;0;0.000112;1.7e-05;0.000202;0.000331
xdevs-rs-no_std-f64;0;LI;2;12;0;0;0.000129;1.7e-05;0.000219;0.000365
xdevs-rs-no_std-f64;1;LI;2;12;0;0;0.000129;1.7e-05;0.000218;0.000364
xdevs-rs-no_std-f64;2;LI;2;12;0;0;0.000129;1.7e-05;0.000219;0.000365
xdevs-rs-no_std-f64;3;LI;2;12;0;0;0.000129;1.7e-05;0.000219;0.000365
xdevs-rs-no_std-f64;4;LI;2;12;0;0;0.000129;1.7e-05;0.000219;0.000365
xdevs-rs-no_std-f64;5;LI;2;12;0;0;0.000129;1.7e-05;0.000219;0.000365
xdevs-rs-no_std-f64;6;LI;2;12;0;0;0.000129;1.7e-05;0.000219;0.000365
xdevs-rs-no_std-f64;7;LI;2;12;0;0;0.000129;1.8e-05;0.000219;0.000366
xdevs-rs-no_std-f64;8;LI;2;12;0;0;0.000129;1.7e-05;0.000219;0.000365
xdevs-rs-no_std-f64;9;LI;2;12;0;0;0.000129;1.7e-05;0.000219;0.000365
xdevs-rs-no_std-f64;0;LI;2;14;0;0;0.00015;2e-05;0.000229;0.000399
xdevs-rs-no_std-f64;1;LI;2;14;0;0;0.00015;2e-05;0.000229;0.000399
xdevs-rs-no_std-f64;2;LI;2;14;0;0;0.00015;2e-05;0.000229;0.000399
xdevs-rs-no_std-f64;3;LI;2;14;0;0;0.000151;2.1e-05;0.000229;0.000401
xdevs-rs-no_std-f64;4;LI;2;14;0;0;0.00015;2e-05;0.000229;0.000399
xdevs-rs-no_std-f64;5;LI;2;14;0;0;0.00015;2e-05;0.000229;0.000399
xdevs-rs-no_std-f64;6;LI;2;14;0;0;0.00015;2e-05;0.000229;0.000399
xdevs-rs-no_std-f64;7;LI;2;14;0;0;0.000151;2.1e-05;0.000229;0.000401
xdevs-rs-no_std-f64;8;LI;2;14;0;0;0.00015;2e-05;0.000229;0.000399
xdevs-rs-no_std-f64;9;LI;2;14;0;0;0.00015;2.1e-05;0.00023;0.000401
xdevs-rs-no_std-f64;0;LI;2;16;0;0;0.000166;1.9e-05;0.000246;0.000431
xdevs-rs-no_std-f64;1;LI;2;16;0;0;0.000167;1.9e-05;0.000247;0.000433
xdevs-rs-no_std-f64;2;LI;2;16;0;0;0.000166;1.9e-05;0.000247;0.000432
xdevs-rs-no_std-f64;3;LI;2;16;0;0;0.000167;1.9e-05;0.000247;0.000433
xdevs-rs-no_std-f64;4;LI;2;16;0;0;0.000166;1.9e-05;0.000247;0.000432
xdevs-rs-no_std-f64;5;LI;2;16;0;0;0.000166;1.9e-05;0.000246;0.000431
xdevs-rs-no_std-f64;6;LI;2;16;0;0;0.000167;1.9e-05;0.000247;0.000433
xdevs-rs-no_std-f64;7;LI;2;16;0;0;0.000166;1.9e-05;0.000247;0.000432
xdevs-rs-no_std-f64;8;LI;2;16;0;0;0.000166;1.9e-05;0.000247;0.000432
xdevs-rs-no_std-f64;9;LI;2;16;0;0;0.000166;1.9e-05;0.000247;0.000432
xdevs-rs-no_std-f64;0;LI;2;18;0;0;0.000183;1.9e-05;0.000261;0.000463
xdevs-rs-no_std-f64;1;LI;2;18;0;0;0.000182;1.9e-05;0.00026;0.000461
xdevs-rs-no_std-f64;2;LI;2;18;0;0;0.000183;1.9e-05;0.000261;0.000463
xdevs-rs-no_std-f64;3;LI;2;18;0;0;0.000183;1.8e-05;0.000261;0.000462
xdevs-rs-no_std-f64;4;LI;2;18;0;0;0.000183;1.9e-05;0.000261;0.000463
xdevs-rs-no_std-f64;5;LI;2;18;0;0;0.000182;1.9e-05;0.000261;0.000462
xdevs-rs-no_std-f64;6;LI;2;18;0;0;0.000182;1.9e-05;0.000261;0.000462
xdevs-rs-no_std-f64;7;LI;2;18;0;0;0.000183;1.9e-05;0.000261;0.000463
xdevs-rs-no_std-f64;8;LI;2;18;0;0;0.000182;1.9e-05;0.000261;0.000462
xdevs-rs-no_std-f64;9;LI;2;18;0;0;0.000182;1.9e-05;0.000261;0.000462
xdevs-rs-no_std-f64;0;LI;2;20;0;0;0.000196;1.7e-05;0.000284;0.000497
xdevs-rs-no_std-f64;1;LI;2;20;0;0;0.000196;1.6e-05;0.000285;0.000497
xdevs-rs-no_std-f64;2;LI;2;20;0;0;0.000196;1.7e-05;0.000284;0.000497
xdevs-rs-no_std-f64;3;LI;2;20;0;0;0.000196;1.7e-05;0.000284;0.000497
xdevs-rs-no_std-f64;4;LI;2;20;0;0;0.000196;1.6e-05;0.000285;0.000497
xdevs-rs-no_std-f64;5;LI;2;20;0;0;0.000196;1.7e-05;0.000284;0.000497
xdevs-rs-no_std-f64;6;LI;2;20;0;0;0.000196;1.6e-05;0.000284;0.000496
xdevs-rs-no_std-f64;7;LI;2;20;0;0;0.000196;1.6e-05;0.000284;0.000496
xdevs-rs-no_std-f64;8;LI;2;20;0;0;0.000196;1.7e-05;0.000284;0.000497
xdevs-rs-no_std-f64;9;LI;2;20;0;0;0.000196;1.7e-05;0.000284;0.000497
xdevs-rs-no_std-f64;0;LI;2;22;0;0;0.000214;1.7e-05;0.000298;0.000529
xdevs-rs-no_std-f64;1;LI;2;22;0;0;0.000214;1.7e-05;0.000298;0.000529
xdevs-rs-no_std-f64;2;LI;2;22;0;0;0.000214;1.7e-05;0.000298;0.000529
xdevs-rs-no_std-f64;3;LI;2;22;0;0;0.000214;1.7e-05;0.000298;0.000529
xdevs-rs-no_std-f64;4;LI;2;22;0;0;0.000214;1.7e-05;0.000298;0.000529
xdevs-rs-no_std-f64;5;LI;2;22;0;0;0.000214;1.7e-05;0.000298;0.000529
xdevs-rs-no_std-f64;6;LI;2;22;0;0;0.000214;1.7e-05;0.000298;0.000529
xdevs-rs-no_std-f64;7;LI;2;22;0;0;0.000214;1.7e-05;0.000298;0.000529
xdevs-rs-no_std-f64;8;LI;2;22;0;0;0.000214;1.7e-05;0.000299;0.00053
xdevs-rs-no_std-f64;9;LI;2;22;0;0;0.000213;1.7e-05;0.000298;0.000528
xdevs-rs-no_std-f64;0;LI;2;24;0;0;0.00023;1.9e-05;0.000313;0.000562
xdevs-rs-no_std-f64;1;LI;2;24;0;0;0.00023;1.9e-05;0.000313;0.000562
xdevs-rs-no_std-f64;2;LI;2;24;0;0;0.00023;1.9e-05;0.000313;0.000562
xdevs-rs-no_std-f64;3;LI;2;24;0;0;0.000231;2e-05;0.000313;0.000564
xdevs-rs-no_std-f64;4;LI;2;24;0;0;0.000231;2e-05;0.000313;0.000564
xdevs-rs-no_std-f64;5;LI;2;24;0;0;0.00023;1.9e-05;0.000313;0.000562
xdevs-rs-no_std-f64;6;LI;2;24;0;0;0.00023;2e-05;0.000313;0.000563
xdevs-rs-no_std-f64;7;LI;2;24;0;0;0.00023;2e-05;0.000313;0.000563
xdevs-rs-no_std-f64;8;LI;2;24;0;0;0.00023;1.9e-05;0.000313;0.000562
xdevs-rs-no_std-f64;9;LI;2;24;0;0;0.00023;2e-05;0.000313;0.000563
xdevs-rs-no_std-f64;0;LI;2;26;0;0;0.000247;2e-05;0.000327;0.000594
xdevs-rs-no_std-f64;1;LI;2;26;0;0;0.000247;1.9e-05;0.000328;0.000594
xdevs-rs-no_std-f64;2;LI;2;26;0;0;0.000247;2e-05;0.000327;0.000594
xdevs-rs-no_std-f64;3;LI;2;26;0;0;0.000247;1.9e-05;0.000328;0.000594
xdevs-rs-no_std-f64;4;LI;2;26;0;0;0.000247;2e-05;0.000328;0.000595
xdevs-rs-no_std-f64;5;LI;2;26;0;0;0.000247;2e-05;0.000327;0.000594
xdevs-rs-no_std-f64;6;LI;2;26;0;0;0.000247;1.9e-05;0.000328;0.000594
xdevs-rs-no_std-f64;7;LI;2;26;0;0;0.000247;2e-05;0.000327;0.000594
xdevs-rs-no_std-f64;8;LI;2;26;0;0;0.000247;2e-05;0.000328;0.000595
xdevs-rs-no_std-f64;9;LI;2;26;0;0;0.000247;2e-05;0.000328;0.000595
xdevs-rs-no_std-f64;0;LI;2;28;0;0;0.000264;1.9e-05;0.000345;0.000628
xdevs-rs-no_std-f64;1;LI;2;28;0;0;0.000264;1.9e-05;0.000345;0.000628
xdevs-rs-no_std-f64;2;LI;2;28;0;0;0.000264;1.9e-05;0.000345;0.000628
xdevs-rs-no_std-f64;3;LI;2;28;0;0;0.000264;1.9e-05;0.000345;0.000628
xdevs-rs-no_std-f64;4;LI;2;28;0;0;0.000265;1.9e-05;0.000344;0.000628
xdevs-rs-no_std-f64;5;LI;2;28;0;0;0.000265;1.9e-05;0.000344;0.000628
xdevs-rs-no_std-f64;6;LI;2;28;0;0;0.000265;1.9e-05;0.000344;0.000628
xdevs-rs-no_std-f64;7;LI;2;28;0;0;0.000264;1.9e-05;0.000345;0.000628
xdevs-rs-no_std-f64;8;LI;2;28;0;0;0.000265;1.9e-05;0.000344;0.000628
xdevs-rs-no_std-f64;9;LI;2;28;0;0;0.000264;1.9e-05;0.000344;0.000627
xdevs-rs-no_std-f64;0;LI;2;30;0;0;0.000281;1.7e-05;0.000358;0.000656
xdevs-rs-no_std-f64;1;LI;2;30;0;0;0.00028;1.7e-05;0.000358;0.000655
xdevs-rs-no_std-f64;2;LI;2;30;0;0;0.000281;1.7e-05;0.000358;0.000656
xdevs-rs-no_std-f64;3;LI;2;30;0;0;0.00028;1.8e-05;0.000359;0.000657
xdevs-rs-no_std-f64;4;LI;2;30;0;0;0.00028;1.8e-05;0.000359;0.000657
xdevs-rs-no_std-f64;5;LI;2;30;0;0;0.00028;1.7e-05;0.000358;0.000655
xdevs-rs-no_std-f64;6;LI;2;30;0;0;0.00028;1.8e-05;0.000359;0.000657
