engine;iter;model;width;depth;int_delay;ext_delay;model_time;runner_time;sim_time;total_time
xdevs-rs-no_std-f64;0;HI;2;2;0;0;0,000053;0,000018;0,00012;0,000191
xdevs-rs-no_std-f64;1;HI;2;2;0;0;0,000053;0,000017;0,00012;0,00019
xdevs-rs-no_std-f64;2;HI;2;2;0;0;0,000053;0,000018;0,00012;0,000191
xdevs-rs-no_std-f64;3;HI;2;2;0;0;0,000053;0,000018;0,00012;0,000191
xdevs-rs-no_std-f64;4;HI;2;2;0;0;0,000053;0,000017;0,00012;0,00019
xdevs-rs-no_std-f64;5;HI;2;2;0;0;0,000053;0,000017;0,00012;0,00019
xdevs-rs-no_std-f64;6;HI;2;2;0;0;0,000053;0,000018;0,00012;0,000191
xdevs-rs-no_std-f64;7;HI;2;2;0;0;0,000053;0,000017;0,00012;0,00019
xdevs-rs-no_std-f64;8;HI;2;2;0;0;0,000053;0,000017;0,00012;0,00019
xdevs-rs-no_std-f64;9;HI;2;2;0;0;0,000053;0,000017;0,00012;0,00019
xdevs-rs-no_std-f64;0;HI;4;4;0;0;0,000093;0,000019;0,000187;0,000299
xdevs-rs-no_std-f64;1;HI;4;4;0;0;0,000093;0,000018;0,000187;0,000298
xdevs-rs-no_std-f64;2;HI;4;4;0;0;0,000093;0,000019;0,000187;0,000299
xdevs-rs-no_std-f64;3;HI;4;4;0;0;0,000093;0,000019;0,000187;0,000299
xdevs-rs-no_std-f64;4;HI;4;4;0;0;0,000093;0,000018;0,000187;0,000298
xdevs-rs-no_std-f64;5;HI;4;4;0;0;0,000093;0,000019;0,000187;0,000299
xdevs-rs-no_std-f64;6;HI;4;4;0;0;0,000093;0,000019;0,000187;0,000299
xdevs-rs-no_std-f64;7;HI;4;4;0;0;0,000092;0,000018;0,000187;0,000297
xdevs-rs-no_std-f64;8;HI;4;4;0;0;0,000093;0,000018;0,000187;0,000298
xdevs-rs-no_std-f64;9;HI;4;4;0;0;0,000093;0,000019;0,000187;0,000299
xdevs-rs-no_std-f64;0;HI;6;6;0;0;0,000133;0,000019;0,000331;0,000483
xdevs-rs-no_std-f64;1;HI;6;6;0;0;0,000133;0,000019;0,000331;0,000483
xdevs-rs-no_std-f64;2;HI;6;6;0;0;0,000133;0,000019;0,000331;0,000483
xdevs-rs-no_std-f64;3;HI;6;6;0;0;0,000134;0,000019;0,000331;0,000484
xdevs-rs-no_std-f64;4;HI;6;6;0;0;0,000133;0,000019;0,00033;0,000482
xdevs-rs-no_std-f64;5;HI;6;6;0;0;0,000133;0,000019;0,000331;0,000483
xdevs-rs-no_std-f64;6;HI;6;6;0;0;0,000133;0,000019;0,00033;0,000482
xdevs-rs-no_std-f64;7;HI;6;6;0;0;0,000133;0,000019;0,000331;0,000483
xdevs-rs-no_std-f64;8;HI;6;6;0;0;0,000133;0,000019;0,000331;0,000483
xdevs-rs-no_std-f64;9;HI;6;6;0;0;0,000133;0,000019;0,000331;0,000483
xdevs-rs-no_std-f64;0;HI;8;8;0;0;0,000182;0,000019;0,00059;0,000791
xdevs-rs-no_std-f64;1;HI;8;8;0;0;0,000181;0,00002;0,00059;0,000791
xdevs-rs-no_std-f64;2;HI;8;8;0;0;0,000182;0,000019;0,000589;0,00079
xdevs-rs-no_std-f64;3;HI;8;8;0;0;0,000182;0,000019;0,000589;0,00079
xdevs-rs-no_std-f64;4;HI;8;8;0;0;0,000181;0,00002;0,00059;0,000791
xdevs-rs-no_std-f64;5;HI;8;8;0;0;0,000182;0,000019;0,000589;0,00079
xdevs-rs-no_std-f64;6;HI;8;8;0;0;0,000181;0,00002;0,00059;0,000791
xdevs-rs-no_std-f64;7;HI;8;8;0;0;0,000181;0,000019;0,00059;0,00079
xdevs-rs-no_std-f64;8;HI;8;8;0;0;0,000181;0,00002;0,00059;0,000791
xdevs-rs-no_std-f64;9;HI;8;8;0;0;0,000181;0,00002;0,000589;0,00079
xdevs-rs-no_std-f64;0;HI;10;10;0;0;0,000243;0,00002;0,000962;0,001225
xdevs-rs-no_std-f64;1;HI;10;10;0;0;0,000243;0,00002;0,000962;0,001225
xdevs-rs-no_std-f64;2;HI;10;10;0;0;0,000243;0,000021;0,000962;0,001226
xdevs-rs-no_std-f64;3;HI;10;10;0;0;0,000243;0,00002;0,000962;0,001225
xdevs-rs-no_std-f64;4;HI;10;10;0;0;0,000243;0,00002;0,000962;0,001225
xdevs-rs-no_std-f64;5;HI;10;10;0;0;0,000243;0,00002;0,000962;0,001225
xdevs-rs-no_std-f64;6;HI;10;10;0;0;0,000243;0,00002;0,000962;0,001225
xdevs-rs-no_std-f64;7;HI;10;10;0;0;0,000243;0,00002;0,000962;0,001225
xdevs-rs-no_std-f64;8;HI;10;10;0;0;0,000243;0,00002;0,000962;0,001225
xdevs-rs-no_std-f64;9;HI;10;10;0;0;0,000243;0,00002;0,000962;0,001225
xdevs-rs-no_std-f64;0;HI;12;12;0;0;0,000321;0,000018;0,001561;0,0019
xdevs-rs-no_std-f64;1;HI;12;12;0;0;0,000322;0,000018;0,001561;0,001901
xdevs-rs-no_std-f64;2;HI;12;12;0;0;0,000321;0,000019;0,001561;0,001901
xdevs-rs-no_std-f64;3;HI;12;12;0;0;0,000321;0,000018;0,001561;0,0019
xdevs-rs-no_std-f64;4;HI;12;12;0;0;0,000321;0,000018;0,001561;0,0019
xdevs-rs-no_std-f64;5;HI;12;12;0;0;0,000322;0,000018;0,001561;0,001901
xdevs-rs-no_std-f64;6;HI;12;12;0;0;0,000321;0,000019;0,00156;0,0019
xdevs-rs-no_std-f64;7;HI;12;12;0;0;0,000321;0,000019;0,00156;0,0019
xdevs-rs-no_std-f64;8;HI;12;12;0;0;0,000322;0,000018;0,001561;0,001901
xdevs-rs-no_std-f64;9;HI;12;12;0;0;0,000322;0,000018;0,001561;0,001901
xdevs-rs-no_std-f64;0;HI;14;14;0;0;0,0004;0,000019;0,002394;0,002813
xdevs-rs-no_std-f64;1;HI;14;14;0;0;0,0004;0,000019;0,002395;0,002814
xdevs-rs-no_std-f64;2;HI;14;14;0;0;0,0004;0,000019;0,002394;0,002813
xdevs-rs-no_std-f64;3;HI;14;14;0;0;0,0004;0,000019;0,002394;0,002813
xdevs-rs-no_std-f64;4;HI;14;14;0;0;0,0004;0,000019;0,002394;0,002813
xdevs-rs-no_std-f64;5;HI;14;14;0;0;0,000401;0,000019;0,002394;0,002814
xdevs-rs-no_std-f64;6;HI;14;14;0;0;0,0004;0,000019;0,002394;0,002813
xdevs-rs-no_std-f64;7;HI;14;14;0;0;0,0004;0,000019;0,002394;0,002813
xdevs-rs-no_std-f64;8;HI;14;14;0;0;0,0004;0,000019;0,002395;0,002814
xdevs-rs-no_std-f64;9;HI;14;14;0;0;0,0004;0,000019;0,002394;0,002813
xdevs-rs-no_std-f64;0;HI;16;16;0;0;0,00049;0,00002;0,003508;0,004018
xdevs-rs-no_std-f64;1;HI;16;16;0;0;0,00049;0,00002;0,003508;0,004018
xdevs-rs-no_std-f64;2;HI;16;16;0;0;0,00049;0,00002;0,003508;0,004018
xdevs-rs-no_std-f64;3;HI;16;16;0;0;0,00049;0,00002;0,003507;0,004017
xdevs-rs-no_std-f64;4;HI;16;16;0;0;0,000489;0,00002;0,003508;0,004017
xdevs-rs-no_std-f64;5;HI;16;16;0;0;0,00049;0,000019;0,003508;0,004017
xdevs-rs-no_std-f64;6;HI;16;16;0;0;0,00049;0,000019;0,003508;0,004017
xdevs-rs-no_std-f64;7;HI;16;16;0;0;0,00049;0,000019;0,003508;0,004017
xdevs-rs-no_std-f64;8;HI;16;16;0;0;0,00049;0,000019;0,003508;0,004017
xdevs-rs-no_std-f64;9;HI;16;16;0;0;0,00049;0,00002;0,003507;0,004017
xdevs-rs-no_std-f64;0;HI;18;18;0;0;0,000586;0,000024;0,004916;0,005526
xdevs-rs-no_std-f64;1;HI;18;18;0;0;0,000585;0,000024;0,004915;0,005524
xdevs-rs-no_std-f64;2;HI;18;18;0;0;0,000586;0,000023;0,004916;0,005525
xdevs-rs-no_std-f64;3;HI;18;18;0;0;0,000586;0,000023;0,004916;0,005525
xdevs-rs-no_std-f64;4;HI;18;18;0;0;0,000585;0,000024;0,004916;0,005525
xdevs-rs-no_std-f64;5;HI;18;18;0;0;0,000586;0,000024;0,004916;0,005526
xdevs-rs-no_std-f64;6;HI;18;18;0;0;0,000585;0,000024;0,004915;0,005524
xdevs-rs-no_std-f64;7;HI;18;18;0;0;0,000585;0,000024;0,004916;0,005525
xdevs-rs-no_std-f64;8;HI;18;18;0;0;0,000585;0,000024;0,004916;0,005525
xdevs-rs-no_std-f64;9;HI;18;18;0;0;0,000586;0,000024;0,004916;0,005526
xdevs-rs-no_std-f64;0;HI;20;20;0;0;0,000695;0,000021;0,006491;0,007207
xdevs-rs-no_std-f64;1;HI;20;20;0;0;0,000695;0,000021;0,006491;0,007207
xdevs-rs-no_std-f64;2;HI;20;20;0;0;0,000695;0,000021;0,006491;0,007207
xdevs-rs-no_std-f64;3;HI;20;20;0;0;0,000695;0,000021;0,006491;0,007207
xdevs-rs-no_std-f64;4;HI;20;20;0;0;0,000695;0,000021;0,006491;0,007207
xdevs-rs-no_std-f64;5;HI;20;20;0;0;0,000695;0,000021;0,006491;0,007207
xdevs-rs-no_std-f64;6;HI;20;20;0;0;0,000695;0,000021;0,006491;0,007207
xdevs-rs-no_std-f64;7;HI;20;20;0;0;0,000694;0,000021;0,009491;0,010206
xdevs-rs-no_std-f64;8;HI;20;20;0;0;0,000695;0,000021;0,006491;0,007207
xdevs-rs-no_std-f64;9;HI;20;20;0;0;0,000695;0,000021;0,006491;0,007207
xdevs-rs-no_std-f64;0;HI;22;22;0;0;0,000819;0,000021;0,00861;0,00945
xdevs-rs-no_std-f64;1;HI;22;22;0;0;0,000819;0,000022;0,00861;0,009451
xdevs-rs-no_std-f64;2;HI;22;22;0;0;0,000819;0,000021;0,00861;0,00945
xdevs-rs-no_std-f64;3;HI;22;22;0;0;0,000819;0,000021;0,00861;0,00945
xdevs-rs-no_std-f64;4;HI;22;22;0;0;0,000819;0,000021;0,00861;0,00945
xdevs-rs-no_std-f64;5;HI;22;22;0;0;0,000819;0,000022;0,00861;0,009451
xdevs-rs-no_std-f64;6;HI;22;22;0;0;0,000819;0,000021;0,008611;0,009451
xdevs-rs-no_std-f64;7;HI;22;22;0;0;0,000819;0,000021;0,00861;0,00945
xdevs-rs-no_std-f64;8;HI;22;22;0;0;0,000819;0,000021;0,00861;0,00945
xdevs-rs-no_std-f64;9;HI;22;22;0;0;0,000819;0,000022;0,00861;0,009451
xdevs-rs-no_std-f64;0;HI;24;24;0;0;0,000951;0,000026;0,01116;0,012137
xdevs-rs-no_std-f64;1;HI;24;24;0;0;0,000951;0,000026;0,011159;0,012136
xdevs-rs-no_std-f64;2;HI;24;24;0;0;0,00095;0,000025;0,01116;0,012135
xdevs-rs-no_std-f64;3;HI;24;24;0;0;0,000951;0,000026;0,011159;0,012136
xdevs-rs-no_std-f64;4;HI;24;24;0;0;0,00095;0,000025;0,01116;0,012135
xdevs-rs-no_std-f64;5;HI;24;24;0;0;0,00095;0,000025;0,01116;0,012135
xdevs-rs-no_std-f64;6;HI;24;24;0;0;0,00095;0,000025;0,01116;0,012135
xdevs-rs-no_std-f64;7;HI;24;24;0;0;0,00095;0,000026;0,011159;0,012135
xdevs-rs-no_std-f64;8;HI;24;24;0;0;0,00095;0,000025;0,01116;0,012135
xdevs-rs-no_std-f64;9;HI;24;24;0;0;0,00095;0,000026;0,011159;0,012135
xdevs-rs-no_std-f64;0;HI;26;26;0;0;0,001085;0,000026;0,014173;0,015284
xdevs-rs-no_std-f64;1;HI;26;26;0;0;0,001086;0,000027;0,014173;0,015286
xdevs-rs-no_std-f64;2;HI;26;26;0;0;0,001085;0,000026;0,014174;0,015285
xdevs-rs-no_std-f64;3;HI;26;26;0;0;0,001086;0,000027;0,014173;0,015286
xdevs-rs-no_std-f64;4;HI;26;26;0;0;0,001086;0,000027;0,014173;0,015286
