engine;iter;model;width;depth;int_delay;ext_delay;model_time;runner_time;sim_time;total_time
xdevs-rs-no_std-f64;0;HO;2;2;0;0;0,000051;0,000019;0,000118;0,000188
xdevs-rs-no_std-f64;1;HO;2;2;0;0;0,000051;0,000019;0,000118;0,000188
xdevs-rs-no_std-f64;2;HO;2;2;0;0;0,000051;0,000019;0,000118;0,000188
xdevs-rs-no_std-f64;3;HO;2;2;0;0;0,000051;0,000019;0,000118;0,000188
xdevs-rs-no_std-f64;4;HO;2;2;0;0;0,000051;0,000019;0,000118;0,000188
xdevs-rs-no_std-f64;5;HO;2;2;0;0;0,000051;0,000019;0,000118;0,000188
xdevs-rs-no_std-f64;6;HO;2;2;0;0;0,000051;0,000019;0,000118;0,000188
xdevs-rs-no_std-f64;7;HO;2;2;0;0;0,000051;0,000019;0,000117;0,000187
xdevs-rs-no_std-f64;8;HO;2;2;0;0;0,000051;0,000019;0,000118;0,000188
xdevs-rs-no_std-f64;9;HO;2;2;0;0;0,000051;0,000019;0,000118;0,000188
xdevs-rs-no_std-f64;0;HO;4;4;0;0;0,000105;0,000019;0,000207;0,000331
xdevs-rs-no_std-f64;1;HO;4;4;0;0;0,000105;0,000019;0,000207;0,000331
xdevs-rs-no_std-f64;2;HO;4;4;0;0;0,000104;0,000019;0,000206;0,000329
xdevs-rs-no_std-f64;3;HO;4;4;0;0;0,000105;0,00002;0,000206;0,000331
xdevs-rs-no_std-f64;4;HO;4;4;0;0;0,000105;0,000019;0,000207;0,000331
xdevs-rs-no_std-f64;5;HO;4;4;0;0;0,000104;0,000019;0,000207;0,00033
xdevs-rs-no_std-f64;6;HO;4;4;0;0;0,000105;0,00002;0,000206;0,000331
xdevs-rs-no_std-f64;7;HO;4;4;0;0;0,000105;0,00002;0,000206;0,000331
xdevs-rs-no_std-f64;8;HO;4;4;0;0;0,000104;0,000019;0,000207;0,00033
xdevs-rs-no_std-f64;9;HO;4;4;0;0;0,000105;0,000019;0,000206;0,00033
xdevs-rs-no_std-f64;0;HO;6;6;0;0;0,000147;0,000021;0,000393;0,000561
xdevs-rs-no_std-f64;1;HO;6;6;0;0;0,000147;0,000021;0,000393;0,000561
