engine;iter;model;width;depth;int_delay;ext_delay;model_time;runner_time;sim_time;total_time
xdevs-rs-no_std-f64;0;LI;2;2;0;0;0,000051;0,000016;0,000116;0,000183
xdevs-rs-no_std-f64;1;LI;2;2;0;0;0,000051;0,000016;0,000116;0,000183
xdevs-rs-no_std-f64;2;LI;2;2;0;0;0,000051;0,000016;0,000116;0,000183
xdevs-rs-no_std-f64;3;LI;2;2;0;0;0,000051;0,000016;0,000116;0,000183
xdevs-rs-no_std-f64;4;LI;2;2;0;0;0,000051;0,000016;0,000117;0,000184
xdevs-rs-no_std-f64;5;LI;2;2;0;0;0,000051;0,000017;0,000116;0,000184
xdevs-rs-no_std-f64;6;LI;2;2;0;0;0,00005;0,000017;0,000116;0,000183
xdevs-rs-no_std-f64;7;LI;2;2;0;0;0,000051;0,000017;0,000116;0,000184
xdevs-rs-no_std-f64;8;LI;2;2;0;0;0,000051;0,000016;0,000116;0,000183
xdevs-rs-no_std-f64;9;LI;2;2;0;0;0,000051;0,000017;0,000116;0,000184
xdevs-rs-no_std-f64;0;LI;4;4;0;0;0,000092;0,000016;0,000153;0,000261
xdevs-rs-no_std-f64;1;LI;4;4;0;0;0,000092;0,000017;0,000153;0,000262
xdevs-rs-no_std-f64;2;LI;4;4;0;0;0,000093;0,000017;0,000152;0,000262
xdevs-rs-no_std-f64;3;LI;4;4;0;0;0,000092;0,000017;0,000152;0,000261
xdevs-rs-no_std-f64;4;LI;4;4;0;0;0,000092;0,000016;0,000152;0,00026
xdevs-rs-no_std-f64;5;LI;4;4;0;0;0,000092;0,000016;0,000152;0,00026
xdevs-rs-no_std-f64;6;LI;4;4;0;0;0,000092;0,000016;0,000152;0,00026
xdevs-rs-no_std-f64;7;LI;4;4;0;0;0,000092;0,000016;0,000152;0,00026
xdevs-rs-no_std-f64;8;LI;4;4;0;0;0,000092;0,000016;0,000153;0,000261
xdevs-rs-no_std-f64;9;LI;4;4;0;0;0,000093;0,000017;0,000152;0,000262
xdevs-rs-no_std-f64;0;LI;6;6;0;0;0,000137;0,000017;0,000185;0,000339
xdevs-rs-no_std-f64;1;LI;6;6;0;0;0,000137;0,000018;0,000185;0,00034
xdevs-rs-no_std-f64;2;LI;6;6;0;0;0,000137;0,000018;0,000185;0,00034
xdevs-rs-no_std-f64;3;LI;6;6;0;0;0,000137;0,000018;0,000185;0,00034
xdevs-rs-no_std-f64;4;LI;6;6;0;0;0,000137;0,000018;0,000185;0,00034
xdevs-rs-no_std-f64;5;LI;6;6;0;0;0,000137;0,000018;0,000185;0,00034
xdevs-rs-no_std-f64;6;LI;6;6;0;0;0,000137;0,000017;0,000184;0,000338
xdevs-rs-no_std-f64;7;LI;6;6;0;0;0,000137;0,000017;0,000184;0,000338
xdevs-rs-no_std-f64;8;LI;6;6;0;0;0,000137;0,000018;0,000185;0,00034
xdevs-rs-no_std-f64;9;LI;6;6;0;0;0,000137;0,000018;0,000185;0,00034
xdevs-rs-no_std-f64;0;LI;8;8;0;0;0,000192;0,000018;0,000229;0,000439
xdevs-rs-no_std-f64;1;LI;8;8;0;0;0,000192;0,000018;0,00023;0,00044
xdevs-rs-no_std-f64;2;LI;8;8;0;0;0,000192;0,000018;0,000229;0,000439
xdevs-rs-no_std-f64;3;LI;8;8;0;0;0,000192;0,000017;0,000229;0,000438
xdevs-rs-no_std-f64;4;LI;8;8;0;0;0,000192;0,000018;0,00023;0,00044
xdevs-rs-no_std-f64;5;LI;8;8;0;0;0,000193;0,000017;0,000229;0,000439
xdevs-rs-no_std-f64;6;LI;8;8;0;0;0,000192;0,000018;0,00023;0,00044
xdevs-rs-no_std-f64;7;LI;8;8;0;0;0,000192;0,000018;0,000229;0,000439
xdevs-rs-no_std-f64;8;LI;8;8;0;0;0,000193;0,000017;0,000229;0,000439
xdevs-rs-no_std-f64;9;LI;8;8;0;0;0,000192;0,000018;0,000229;0,000439
xdevs-rs-no_std-f64;0;LI;10;10;0;0;0,000254;0,000016;0,000282;0,000552
xdevs-rs-no_std-f64;1;LI;10;10;0;0;0,000255;0,000016;0,000282;0,000553
xdevs-rs-no_std-f64;2;LI;10;10;0;0;0,000255;0,000016;0,000281;0,000552
xdevs-rs-no_std-f64;3;LI;10;10;0;0;0,000254;0,000016;0,000281;0,000551
xdevs-rs-no_std-f64;4;LI;10;10;0;0;0,000254;0,000017;0,000281;0,000552
xdevs-rs-no_std-f64;5;LI;10;10;0;0;0,000255;0,000016;0,000281;0,000552
xdevs-rs-no_std-f64;6;LI;10;10;0;0;0,000254;0,000017;0,000281;0,000552
xdevs-rs-no_std-f64;7;LI;10;10;0;0;0,000255;0,000016;0,000281;0,000552
xdevs-rs-no_std-f64;8;LI;10;10;0;0;0,000254;0,000017;0,000282;0,000553
xdevs-rs-no_std-f64;9;LI;10;10;0;0;0,000255;0,000016;0,000281;0,000552
xdevs-rs-no_std-f64;0;LI;12;12;0;0;0,000337;0,00002;0,000351;0,000708
xdevs-rs-no_std-f64;1;LI;12;12;0;0;0,000337;0,00002;0,000351;0,000708
xdevs-rs-no_std-f64;2;LI;12;12;0;0;0,000337;0,000021;0,000352;0,00071
xdevs-rs-no_std-f64;3;LI;12;12;0;0;0,000337;0,00002;0,000351;0,000708
xdevs-rs-no_std-f64;4;LI;12;12;0;0;0,000338;0,00002;0,000351;0,000709
xdevs-rs-no_std-f64;5;LI;12;12;0;0;0,000338;0,00002;0,000351;0,000709
xdevs-rs-no_std-f64;6;LI;12;12;0;0;0,000337;0,00002;0,000351;0,000708
xdevs-rs-no_std-f64;7;LI;12;12;0;0;0,000337;0,00002;0,000351;0,000708
xdevs-rs-no_std-f64;8;LI;12;12;0;0;0,000338;0,00002;0,000351;0,000709
xdevs-rs-no_std-f64;9;LI;12;12;0;0;0,000337;0,00002;0,000351;0,000708
xdevs-rs-no_std-f64;0;LI;14;14;0;0;0,00043;0,000018;0,000429;0,000877
xdevs-rs-no_std-f64;1;LI;14;14;0;0;0,00043;0,000019;0,000429;0,000878
xdevs-rs-no_std-f64;2;LI;14;14;0;0;0,00043;0,000018;0,000429;0,000877
xdevs-rs-no_std-f64;3;LI;14;14;0;0;0,000431;0,000018;0,000429;0,000878
xdevs-rs-no_std-f64;4;LI;14;14;0;0;0,00043;0,000018;0,000429;0,000877
